评论得分,评论内容
1,垃圾，才买几天，就闪屏，用不了？
5,东西不错，服务也不错，挺好
5,不错，很好用，颜色也好看，还是很满意的
5,千元机典范，1199的机子和一年前2499高配小米4 比，不差，大爱，就是后盖颜色不喜欢，配个壳给解决了
5,手机很好，京东快递也给力。加油
5,可以
5,6666666666
5,不错，第一天买第二天就到了，手机也好用
5,好评！手机颜值与做工，非常的惊讶，这个档次的机子只卖1199，真是不应该呀。1，手机手感很不错，全金属机身，精致的做工，拿在手里非常的好，要比魅蓝note3和自家的note3，好了不是一两个档次！2.手机屏幕很清晰，声音也不错。3.小米miui系统人性化很高，4.发热不是很大。此机必火！！
5,不错，很满意
5,外观美观，运行很快，游戏速度很快
5,用着还可以，买的非常值，只能这么说！！！
5,可以
5,东西很好 速度也很快
5,不错
5,说实话手机用两个月，就出现问题，重新买苹果了
5,第一天拍的 第二天就到了 历史上最快的一次
5,还可以，挺漂亮的，小米真心不错，非常愉快的一次购物
5,还不错，暂时够用
5,产品很好、漂亮很好用
5,物流很快，款式也很好看，不错，支持一个！！
5,性价比不错，支持国产
5,刚刚收到，京东快递就是好，不但快而且客服还很好，我去年双11卖了note3好用，今天又抢到note4了心里特别高兴，新的note4比note3好看了不少真是喜欢，比note3轻了，拿在手里非常棒，各方面性能还没测试，以后追加，希望小米越来越好
5,不错不错！第二次购买真是不错啊！好好好咯
5,手机不错 价位也合适 同样的价位 小米比别的品牌配置高 遗憾的是照相机差点
5,第二次购买，因为信任，赞
5,好好好好?好啊好好好好
5,还没用 但是看机身和包装应该感觉不错
5,双十一买了不少东西，好评
5,外观很好看，手感也不错，功能齐全我很喜欢，反应速度也快，整体来说很不错，而且价格方面也可以，做工也非常的精致。祝小米越办越好！
5,手机用着挺好，性价比高，信赖京东
1,京东快递快，手机前摄像头太差，视频看不见人。
1,发票给你填好公司名字，你开个个人发票，真是晕死，联系客服还没人理，无语。
1,锁屏后开不开机
1,手机打开盒子就有两个白点，贴膜贴歪了，后面的膜有磨损，有点脏污，上下也歪了，没有贴齐，你这些问题让一般人看到了可能以为没什么，我可是在电子厂干了三年，我下一个工位就是质检，他们每天用酒精插，就这白点，出厂质检不可能这么邋遢，如果说后面的贴膜你们没有弄好，我还不说什么，打开盒子就有两个白点，拜托你们把用过的东西拿回去找人处理的时候能不能找在电子厂干过质检的弄一下，太明显了
1,昨天收到货，不懂为什么我下单的时候不能用优惠卷，昨天收到手机后又帮朋友订了一个，却可以用优惠卷，*不多，但却寒了心，大家电都是在你家买的。这样子对我
1,无语了，返回键有时不受控制，失灵的，还有重得要死，手拿着玩久了会累，拍照不清晰，运行不是很好，我觉得根本不值这个价钱，现在后悔买了，以后再也不相信红米手机了
1,空间视频比较模糊不清
1,送货员把东西放到门卫，也不打个电话，拆开一看角都碰缺了一个，这找谁去？差评。手机外观也不好看。
1,一星是给快递的，确实快。手机一般，电池绝对用不了一天。失望。最失望。
1,他们不送东西呀
1,开机反应慢，发热太严重，上手不到五分钟，直接烫手，系统反应还特迟钝，真无语了。
1,有些功能好是好了一点，就是屏幕一闪一闪的，不过还是不满意
1,很垃圾的手机，能不买千万不要买，垃圾的一逼，打个王者荣耀都能卡成狗，没见过这么垃圾的手机，我买的乐视1到现在，打王者都不卡，
1,以前的手机三千块买的，买这个只是为了玩游戏（王者荣耀），结果卡的要死，后悔死了！
